"flightid","releasestatus","filing_status","departure","destination","scheduled_time_of_departure","aircraft_registration","callsign","alternate","flight_rule","atc_type_of_flight","dispatcher_notes","item18_remarks","route_to_destination","route_altitude_fl","load_people","load_cargo_kg","log_time_off","log_time_on","log_flight_duration","log_block_duration","perf_flight_fuel","perf_taxi_fuel","perf_fuel_to_destination","perf_landing_fuel","perf_alternate_fuel","perf_reserve_fuel","perf_extra_fuel","perf_contingency_fuel","perf_total_fuel","perf_max_total_fuel","perf_co2_emission","perf_taxi_time_min","perf_time_to_dest_min","perf_total_time_min","perf_departure_time_utc","perf_estimated_arrival_utc","dist_destination_nm","dist_gcd_destination_nm","dist_alternate_nm","weight_ramp","weight_takeoff","weight_max_takeoff","weight_zero_fuel","weight_landing","weather_avg_wind_comp","weather_avg_wind_dir","weather_avg_wind_vel","weather_avg_isa_dev","is_etops_enabled"
"009fc53a3c0d42c9bd6f019288a9dd53","Success","Filed","LLHA","LLER","2026-02-08T10:45:00Z","4XIHB","HFA603","LLBG","ZFR","S","EXTRA FUEL IS PER COMPANY
T/O DATA : RWY 15. DRY. 23C  AC-OFF. 1012Q     RTOW:22218KG
DIS. BY AYELET W.",,"N0236A050 GALIM/N0235A050 IFR Q28 ATLIT J15 NAT/N0274A090 J10 SIVAK/N0276A130 J10 NURIT NURIT1D","50","2","6600.0","2026-02-08T10:33:57Z","2026-02-08T11:29:24Z","0.9241666666666667","1.068888888888889","843.0","50.0","793.0","1023.0","595.0","281.0","100.0","47.0","1866.0","5000.0","2662.0","0.0","57.0","142.0","2026-02-08T10:45:00Z","2026-02-08T11:42:24.2956275Z","230.38","184.55","155.72","21777.0","21727.0","23000.0","19911.0","20934.0","1.0","275.03","35.82","8.42","false"
"4486eb9d5fc440ef842dd30dc2452cbf","Success","Filed","LCPH","LLHA","2026-02-08T09:55:00Z","4XIHE","HFA852","LLBG","YFR","S","EXTRA FUEL TO COVER THE NEXT LEG
DIS. BY AYELET W.",,"ESERI1D ESERI M42 VELOX B17 MERVA P68 GALIM VFR","130","2","3000.0","2026-02-08T09:50:06Z","2026-02-08T10:38:40Z","0.8094444444444444","0.9663888888888889","650.0","80.0","570.0","1450.0","254.0","254.0","900.0","42.0","2100.0","5000.0","2053.0","0.0","46.0","173.0","2026-02-08T09:55:00Z","2026-02-08T10:40:52.596373Z","205.27","171.59","54.99","18425.0","18345.0","23000.0","16325.0","17775.0","25.0","267.67","50.94","5.32","false"
"d64ac5067e0e4fbcb448b3cadc51abaa","Success","Filed","LLHA","LCLK","2026-02-08T09:30:00Z","4XIHC","HFA803","LCPH","ZFR","S","AC IS FUELED WITH 1580KG FROM PREV. LEG
T/O DATA: RWY 15. DRY . 0K  22C AC-OFF.    RTOW-22267KG
DIS BY AYELET W.",,"GALIM IFR P68 MERVA N131 EMEDA EMEDA1A","140","2","3200.0","2026-02-08T09:29:56Z","2026-02-08T10:17:01Z","0.7847222222222222","0.9277777777777778","651.0","50.0","601.0","929.0","350.0","253.0","285.0","42.0","1580.0","5000.0","2056.0","0.0","48.0","128.0","2026-02-08T09:30:00Z","2026-02-08T10:18:19.271293Z","179.36","142.64","73.5","18280.0","18230.0","23000.0","16700.0","17629.0","-19.0","269.86","53.25","5.52","false"
"1071bb245a654626a6228d224eca025b","Success","Filed","LGAV","LLHA","2026-02-08T09:25:00Z","4XIHA","HFA702","LLBG","YFR","S","EXTRA FUEL TO COVER THE NEXT LEG.
DIS. BY AYELET W.","DISPATCH +972502126365","KEA1N KEA L995 RDS L609 APLON P68 GALIM VFR","150","2","6000.0","2026-02-08T10:05:50Z","2026-02-08T12:16:09Z","2.1719444444444442","2.2827777777777776","1588.0","80.0","1508.0","1712.0","265.0","281.0","1090.0","75.0","3300.0","5000.0","5019.0","0.0","127.0","277.0","2026-02-08T09:25:00Z","2026-02-08T11:31:36.714663Z","645.69","624.6","54.99","22505.0","22425.0","23000.0","19205.0","20917.0","49.0","275.22","61.7","5.72","false"
"8323bd33ef8945c8be7e059345d79be4","Success","Filed","LLER","LLHA","2026-02-08T08:50:00Z","4XIHB","HFA602","LLBG","YFR","S","EXTRA FUEL TO COVER THE NEXT FLIGHT 
DIS. BY AYELET W .
",,"NURIT2H NURIT J10 TOMAL/N0276F080 J10 NAT/N0277F040 J15 ATLIT VFR HOTRM DAROM GALIM","120","2","550.0","2026-02-08T08:43:50Z","2026-02-08T09:36:56Z","0.885","1.0897222222222223","771.0","80.0","691.0","1829.0","260.0","239.0","1291.0","40.0","2600.0","5000.0","2436.0","0.0","50.0","210.0","2026-02-08T08:50:00Z","2026-02-08T09:40:04.3643413Z","202.63","184.55","54.99","16461.0","16381.0","23000.0","13861.0","15690.0","-4.0","274.58","32.28","7.72","false"
"5a10d23244504869b8e779baedad5f4d","Success","Filed","LLHA","LCPH","2026-02-08T08:05:00Z","4XIHE","HFA851","LCLK","ZFR","S","AC IS FUELED WITH 1640KG FROM PREV. FLIGHT
T/O DATA: RWY 15. 0K   DRY. 19C   AC-OFF. 1012Q      RTOW-22415KG
DIS. BY AYELET W.",,"GALIM IFR P68 MERVA N131 VELOX M42 ESERI","140","2","4900.0","2026-02-08T08:08:59Z","2026-02-08T09:02:46Z","0.8963888888888889","1.0608333333333333","730.0","50.0","680.0","910.0","262.0","265.0","339.0","44.0","1640.0","5000.0","2308.0","0.0","56.0","135.0","2026-02-08T08:05:00Z","2026-02-08T09:00:36.3538423Z","200.62","171.59","61.53","19865.0","19815.0","23000.0","18225.0","19135.0","-29.0","269.88","51.37","5.89","false"
"43082f237239447d88122401856680a6","Success","Filed","LLHA","LLER","2026-02-08T07:00:00Z","4XIHB","HFA601","LLBG","ZFR","S","EXTRA FUEL IS PER COMPANY POLICY.
T/O DATA: RWY15. DRY. 0K AC-OFF 1012Q    RTOW----22415KG
DIS. BY AYELET W.
",,"GALIM/N0235A050 IFR Q28 ATLIT J15 NAT/N0271A090 J10 SIVAK/N0271A130 J10 NURIT NURIT1D","50","2","6500.0","2026-02-08T07:04:33Z","2026-02-08T07:59:40Z","0.9186111111111112","1.0558333333333334","833.0","50.0","783.0","1067.0","596.0","280.0","144.0","47.0","1900.0","5000.0","2632.0","0.0","57.0","145.0","2026-02-08T07:00:00Z","2026-02-08T07:56:45.4229724Z","230.38","184.55","155.72","21711.0","21661.0","23000.0","19811.0","20878.0","4.0","280.54","35.24","8.3","false"
"881230e7a4254ddca58e5e5ba58dd64f","Success","Filed","LLHA","LGAV","2026-02-08T05:45:00Z","4XIHA","HFA701","LGIR","ZFR","S","EXTRA FUEL AS PER COMPANY POLICY + TEMP. X WIND AT LGAV.
FLIGHT DIS AT FL120 DUE TO SHORT FLIGHT TIME.
T/O DATA -RWY 15. DRY. 0KT. 19C. 1012Q  AC-OFF.     RTOW- 22415KG.
DIS. BY AYELET W.","DISPATCH +972502126365","GALIM/F050 IFR P68 MERVA/F120 P68 APLON L609 RDS L995 VARIX VARIX1Q","50","2","2100.0","2026-02-08T05:59:12Z","2026-02-08T08:55:26Z","2.937222222222222","3.062222222222222","2223.0","50.0","2173.0","1077.0","530.0","242.0","196.0","109.0","3300.0","5000.0","7025.0","0.0","172.0","271.0","2026-02-08T05:45:00Z","2026-02-08T08:36:46.0227925Z","662.64","624.6","176.85","18605.0","18555.0","23000.0","15305.0","16382.0","-35.0","268.01","41.65","3.79","false"
"608fbaefd95e48b0b0e52fd81efca5f2","Success","Filed","LLBG","LCLK","2026-03-17T20:45:00Z","4XIHD","HFA217","LCPH","IFR","S","1. THIS FLIGHT WAS PREPARED BY NIMROD R.
2. EXTRA FUEL PLANNED IN CASE OF SIRENS ALERT.
3. NEW OFP REV. 01 ISSUED WITH FINAL ZFW.","DISPATCH 972502126365 RTECOORATC LCCC","SUVAS1E SUVAS DCT STEPA DCT APLON A28 BETID BETID1A","160","2","0.0","2026-03-17T21:04:29Z","2026-03-17T22:23:07Z","1.3105555555555555","1.6272222222222221","931.0","80.0","851.0","969.0","323.0","282.0","318.0","47.0","1900.0","5000.0","2941.0","0.0","73.0","156.0","2026-03-17T20:45:00Z","2026-03-17T21:57:41.1507574Z","301.74","183.03","73.5","21898.0","21818.0","23000.0","19998.0","20967.0","4.0","215.75","20.11","4.37","false"
"39d0991364104f83835801efd54a193e","Success","Filed","LGAV","LLBG","2026-03-17T17:18:00Z","4XIHD","HFA216","LCLK","IFR","S","1. THIS FLIGHT WAS PREPARED BY NIMROD R.
2. EXTRA FUEL PLANNED FOR NEXT LEG WITH ADDITIONAL 300 KG.","DISPATCH +972502126365","N0279F190 KEA1E KEA L52 VAXOS N134 BIRES Z89 PIKOG L609 ZUKKO","190","2","3900.0","2026-03-17T17:24:16Z","2026-03-17T20:01:45Z","2.624722222222222","2.7483333333333335","1767.0","80.0","1687.0","1933.0","870.0","264.0","714.0","84.0","3700.0","5000.0","5584.0","0.0","154.0","333.0","2026-03-17T17:18:00Z","2026-03-17T19:52:13.9308823Z","669.98","645.11","300.19","20825.0","20745.0","23000.0","17125.0","19058.0","-2.0","212.23","27.63","0.88","false"
"39a9339be9f047e68241ca5224442f67","Success","Filed","LLBG","LCLK","2026-03-17T11:15:00Z","4XIHE","HFA215","LCPH","IFR","S","EXTRA FUEL CONSISTS OF 100 KG PER POLICY AND 100 KG FOR POSS TAXI HOLD DUE SECURITY.
DISP-EREZ Y.",,"N0271A160 SUVAS1E SUVAS DCT STEPA DCT APLON A28 BETID BETID1A","160","2","7000.0","2026-03-17T11:44:57Z","2026-03-17T12:44:43Z","0.9961111111111111","1.3366666666666667","954.0","80.0","874.0","867.0","336.0","284.0","200.0","47.0","1821.0","5000.0","3013.0","0.0","74.0","147.0","2026-03-17T11:15:00Z","2026-03-17T12:29:04.988628Z","301.74","183.03","73.5","22146.0","22066.0","23000.0","20325.0","21192.0","0.0","246.57","21.0","4.17","false"
"ead77bfd39bc480ab7acc69733493d42","Success","Filed","LLBG","LGAV","2026-03-17T09:15:00Z","4XIHD","HFA213",,"IFR","S","1.FLT BESED ON NO ALT,WITH EXTRA FUEL FOR 2 REASONS- PREDICTED HIGH PAYLOAD,AND ALT LGMK(CLSD),LGIR(CB'S ,TSRA),CAN NOT BE USED.
2.EXTRA FUEL CONSISTS OF 100KG PER POLICY AND 200 FOR POSS GROUND HOLD AND ENRT WX.
3.REQUESTED FUEL-2700KG.
DISP-EREZ Y.
","DISPATCH +972502126365","SUVAS1E SUVAS L53 TIPAS N137 RIPLI L995 VARIX VARIX1Q","200","2","6400.0","2026-03-17T09:32:04Z","2026-03-17T12:17:57Z","2.7647222222222223","3.113888888888889","1831.0","80.0","1751.0","802.0","138.0","276.0","300.0","88.0","2633.0","5000.0","5786.0","0.0","164.0","248.0","2026-03-17T09:15:00Z","2026-03-17T11:59:10.6259289Z","688.45","645.11","0.0","22258.0","22178.0","23000.0","19625.0","20427.0","-6.0","219.91","26.13","1.56","false"
"785880f3f00f4a39ac6c8105ef2e29fa","Success","Filed","LCLK","LLBG","2026-03-17T09:00:00Z","4XIHE","HFA214","LCLK","IFR","S","EXTRA FUEL IS FOR POSS HOLDING DUE SECURITY REASON(NEXT FLT LCA).
DISP-EREZ Y.",,"N0278F150 EMEDA2B EMEDA M67 ANANE DCT IDAKU DCT PIKOG L609 ZUKKO AMMOS1A","150","2","3000.0","2026-03-17T09:06:09Z","2026-03-17T10:02:18Z","0.9358333333333333","1.126111111111111","897.0","80.0","817.0","1703.0","885.0","256.0","519.0","43.0","2600.0","5000.0","2835.0","0.0","67.0","218.0","2026-03-17T09:00:00Z","2026-03-17T10:07:17.5589473Z","278.31","183.03","300.19","18925.0","18845.0","23000.0","16325.0","18028.0","-1.0","251.35","16.49","4.09","false"
"3f899d91bf3c4ab487e6a8ad5b26ac20","Success","Filed","LCLK","LLBG","2026-03-17T07:00:00Z","4XIHD","HFA212","LCLK","IFR","S","EXTRA FUEL IS FOR POSS HOLD DUE SECURITY REASON(NEXT FLT ATH).
DISP-EREZ Y.","DISPATCH +972502126365","EMEDA2B EMEDA M67 ANANE DCT IDAKU DCT PIKOG L609 ZUKKO AMMOS1A","150","2","2100.0","2026-03-17T07:29:07Z","2026-03-17T08:23:55Z","0.9133333333333333","1.1019444444444444","881.0","80.0","801.0","1719.0","869.0","248.0","561.0","41.0","2600.0","5000.0","2784.0","0.0","67.0","221.0","2026-03-17T07:00:00Z","2026-03-17T08:06:31.0634388Z","278.31","183.03","300.19","17925.0","17845.0","23000.0","15325.0","17044.0","-1.0","254.35","16.82","3.77","false"
"19576dd4da104e7bb6b363dec2475daf","Success","Filed","LCLK","LLHA","2026-02-12T17:30:00Z","4XIHE","HFA808","LLBG","YFR","S","EXTRA FUEL FOR THE NEXT FLT
ATTN TO ENRTE ICING
DIS BY AYELET W.",,"N0276F130 EMEDA2B EMEDA B17 MERVA P68 GALIM/N0276F130 VFR","130","2","3700.0","2026-02-12T17:36:50Z","2026-02-12T18:15:49Z","0.6497222222222222","0.8819444444444444","590.0","80.0","510.0","1810.0","263.0","263.0","1241.0","44.0","2400.0","5000.0","1865.0","0.0","40.0","194.0","2026-02-12T17:30:00Z","2026-02-12T18:10:18.5253301Z","162.11","142.64","54.99","19425.0","19345.0","23000.0","17025.0","18835.0","3.0","253.08","37.78","2.85","false"
"44439afc3fc5434682246293f9b24ea0","Success","Filed","LLHA","LCLK","2026-02-12T16:00:00Z","4XIHE","HFA807","LCPH","ZFR","S","AC IS FUELED WITH 1620KG FROM PREV LEG.
ATTN TO ENRTE ICING.
T/O DATA: RWY 15. DRY. 130/03KT 20C 1012Q  AC-OFF     RTOW-22530KG
DIS . BY AYELET W",,"GALIM IFR P68 MERVA N131 EMEDA EMEDA1A","140","2","7200.0","2026-02-12T16:04:31Z","2026-02-12T16:49:29Z","0.7494444444444445","0.9302777777777778","637.0","50.0","587.0","983.0","367.0","287.0","281.0","48.0","1620.0","5000.0","2013.0","0.0","47.0","128.0","2026-02-12T16:00:00Z","2026-02-12T16:46:42.6955313Z","179.36","142.64","73.5","22145.0","22095.0","23000.0","20525.0","21508.0","-5.0","252.84","40.15","2.7","false"
"a058157f647a402ab2c42547c7cd468f","Success","Filed","LGAV","LLHA","2026-02-12T13:55:00Z","4XIHD","HFA704","LLBG","YFR","S","EXTRA FUEL IS FOR THE NEXT FLT
DIS. BY AYELET W.","DISPATCH +972502126365","KEA1N KEA L995 RDS L609 ALKIS/F190 L609 APLON P68 MERVA P68 GALIM/F050 VFR","150","2","3800.0","2026-02-12T14:15:52Z","2026-02-12T16:28:46Z","2.215","2.4588888888888887","1603.0","80.0","1523.0","1797.0","261.0","263.0","1197.0","76.0","3400.0","5000.0","5065.0","0.0","132.0","304.0","2026-02-12T13:55:00Z","2026-02-12T16:07:03.4134654Z","645.69","624.6","54.99","20425.0","20345.0","23000.0","17025.0","18822.0","31.0","259.33","44.03","2.34","false"
"7e664cf072d8420c8ec0cb0cd8e4dcb1","Success","Filed","LLER","LLHA","2026-02-12T13:50:00Z","4XIHB","HFA604","LLBG","YFR","S","EXTRA FUEL TO COVER THE NEXT FLT
DIS. BY AYELET W.
",,"N0273F120 NURIT2H NURIT J10 TOMAL/N0272F080 J10 NAT/N0224F040 J15 ATLIT/N0225F040 VFR HOTRM DAROM GALIM","120","2","6500.0","2026-02-12T14:13:42Z","2026-02-12T15:06:35Z","0.8813888888888889","1.1369444444444445","764.0","80.0","684.0","1736.0","284.0","288.0","1116.0","48.0","2500.0","5000.0","2415.0","0.0","49.0","195.0","2026-02-12T13:50:00Z","2026-02-12T14:38:47.1730067Z","202.63","184.55","54.99","22311.0","22231.0","23000.0","19811.0","21547.0","12.0","237.48","27.39","4.69","false"
"2d2c15bc9fc7432a8fc53ddb67092140","Success","Filed","LCLK","LLHA","2026-02-12T13:15:00Z","4XIHE","HFA806","LLBG","YFR","G","1. THIS FLIGHT WAS PREPARED BY NIMROD R.
2. EXTRA FUEL TO COVER THE NEXT LEG.",,"EMEDA2B EMEDA B17 MERVA P68 GALIM VFR","130","3","800.0","2026-02-12T13:28:46Z","2026-02-12T14:07:02Z","0.6377777777777778","0.8780555555555556","592.0","80.0","512.0","1508.0","256.0","238.0","974.0","40.0","2100.0","5000.0","1871.0","0.0","41.0","172.0","2026-02-12T13:15:00Z","2026-02-12T13:55:31.1684794Z","162.11","142.64","54.99","16225.0","16145.0","23000.0","14125.0","15633.0","-6.0","235.12","41.64","2.37","false"
"15abd87c52974326aadead7537b13cd1","Success","Filed","LCLK","LLHA","2026-02-12T12:00:00Z","4XIHC","HFA804","LLBG","YFR","S","1. THIS FLIGHT WAS PREPARED BY NIMROD R.
2. EXTRA FUEL TO COVER THE NEXT LEG.",,"N0278F130 EMEDA2B EMEDA B17 MERVA P68 GALIM/N0277A050 VFR","130","2","2800.0","2026-02-12T12:12:18Z","2026-02-12T12:57:59Z","0.7613888888888889","0.93","613.0","80.0","533.0","1487.0","265.0","254.0","925.0","42.0","2100.0","5000.0","1939.0","0.0","42.0","167.0","2026-02-12T12:00:00Z","2026-02-12T12:41:35.6368301Z","162.11","142.64","54.99","18400.0","18320.0","23000.0","16300.0","17787.0","-7.0","232.87","41.36","2.66","false"
"8bbed5e7797a40338a1455589f1928c0","Success","Filed","LLHA","LCLK","2026-02-12T11:45:00Z","4XIHE","HFA805","LCPH","ZFR","S","1. THIS FLIGHT WAS PREPARED BY NIMROD R.
2. LLHA-RWY 15 RTOW 22761KG. SPS DATA: 230/05KTS, DRY, 22C DEG, QNH 1014, Air Cond. OFF.
3. A/C IS FUELED WITH 1560 KG FROM PREVIOUS LEG.
4. NEW OFP REV. 01 ISSUED WITH LIOR Y.",,"N0235A050 GALIM/N0234A050 IFR P68 MERVA/N0274A140 N131 EMEDA EMEDA1A","50","3","7200.0","2026-02-12T11:54:53Z","2026-02-12T12:43:50Z","0.8158333333333333","0.9708333333333333","623.0","50.0","573.0","937.0","366.0","287.0","236.0","48.0","1560.0","5000.0","1970.0","0.0","46.0","123.0","2026-02-12T11:45:00Z","2026-02-12T12:30:39.1196178Z","179.36","142.64","73.5","22085.0","22035.0","23000.0","20525.0","21462.0","5.0","231.79","32.48","2.69","false"
